Mount   11969   SKS Leapers UTG SOCOM rail mount        593d1fa786f7746da62d61ac
Mount   6502    Hexagon short length rail (Anodized Red)        5b84038986f774774913b0c1
Mount   7771    Hexagon medium length rail (Anodized Red)       5b8403a086f7747ff856f4e2
Mount   10147   M14 Vltor CASV-14 rail system   5addc00b5acfc4001669f144
Mount   12000   Ops-Core Picatinny Rail Adapter mount   5a398b75c4a282000a51a266
Mount   10200   FN SCAR Kinetic MREX 6.5 M-LOK rail     619666f4af1f5202c57a952d
Mount   12500   Geissele Super Precision 30mm ring scope mount  618b9643526131765025ab35
Mount   15874   M14 UltiMAK M8 Forward Optic mount      5addbfbb5acfc400194dbcf7
Mount   12000   Ops-Core Single Clamp Rail Adapter mount        5a398ab9c4a282000c5a9842
Mount   13200   Geissele Super Precision 30mm ring scope mount (DDC)    618bab21526131765025ab3f
Stock   12579   HK MP5 A2 stock 5926d3c686f77410de68ebc8
Stock   26780   AKM/AK-74 Hexagon "Kocherga" stock (Anodized Red)       5e217ba4c1434648c13568cd
Stock   18500   AR-15 B5 Systems Precision stock        5fc2369685fd526b824a5713
Stock   18544   AKM/AK-74 Magpul Zhukov-S stock 5b0e794b5acfc47a877359b2
Stock   38263   AR-15 Hera Arms CQR pistol grip/buttstock       5a33e75ac4a2826c6e06d759
Stock   16630   AK Zenit PT-3 "Klassika" stock  59ecc3dd86f7746dc827481c
Stock   11758   AK Zenit PT-1 "Klassika" stock  5b222d405acfc400153af4fe
Stock   31263   AKM/AK-74 Hera Arms CQR47 pistol grip/buttstock 619b69037b9de8162902673e
Stock   11120   Magpul UBR GEN2 stock (Black)   5947e98b86f774778f1448bc
Stock   16197   SA-58/FAL Magpul PRS 2 polymer stock    5b7d63b75acfc400170e2f8a
Stock   13723   HK MP5 A3 old model stock       5926d40686f7740f152b6b7e
Stock   36580   M14 TROY S.A.S.S. Chassis stock 5ab372a310e891001717f0d8
Stock   8120    Magpul CTR Carbine stock (Black)        5d135e83d7ad1a21b83f42d8
Stock   18800   Magpul PRS GEN3 stock (Black)   5d44069ca4b9361ebd26fc37
Stock   17972   M14 SAGE International M14ALCS chassis  5addc7005acfc4001669f275
Stock   10371   FAB Defense GL-SHOCK buttstock  5a9eb32da2750c00171b3f9c
Stock   12500   HK G36 KV adjustable stock      622f14e899892a7f9e08f6c5
Stock   16150   SA-58 BRS stock 5b7d64555acfc4001876c8e2
Stock   17094   Magpul PRS GEN2 stock (FDE)     5a33cae9c4a28232980eb086
Stock   11442   Magpul UBR GEN2 stock (FDE)     5947eab886f77475961d96c5
Stock   24500   SV-98 CNC Guns OV-SV98 chassis  623b2e9d11c3296b440d1638
Stock   16300   SKS FAB Defense UAS stock       5d0236dad7ad1a0940739d29
Stock   16077   AKM/AK-74 FAB Defense UAS stock 5b04473a5acfc40018632f70
Stock   10758   Mosin Rifle ATI Monte Carlo stock       5bbdb870d4351e00367fb67d
Stock   26500   M700 AI AT AICS polymer stock   5d25d0ac8abbc3054f3e61f7
Stock   18800   Magpul PRS GEN3 stock (Grey)    5d4406a8a4b9361e4f6eb8b7
Stock   19600   AKM/AK-74 ProMag Archangel OPFOR AA47 buttstock 6087e2a5232e5a31c233d552
Stock   10140   ERGO F93 PRO stock      5b0800175acfc400153aebd4
Stock   14972   M700 AB Arms MOD*X GEN 3 chassis        5cde739cd7f00c0010373bd3
Stock   13200   ORSIS T-5000M aluminium body    5df35e59c41b2312ea3334d5
Stock   20551   Mosin Rifle ProMag Archangel OPFOR PRS stock    5bae13bad4351e00320204af
Stock   14015   SA-58 folding stock     5b7d63cf5acfc4001876c8df
Stock   15967   M14 SAGE International M14ALCS (MOD-0) stock    5addc7ac5acfc400194dbd90
Stock   24862   M1A ProMag Archangel stock      5addbf175acfc408fb13965b
Stock   12100   HK Adjustable Buttstock 617155ee50224f204c1da3cd
Stock   23411   SA-58 SPR stock 5b7d63de5acfc400170e2f8d
Stock   17972   M700 Magpul Pro 700 chassis     5cdeac22d7f00c000f26168f
Stock   21000   M700 ProMag Archangel polymer stock     5cf13123d7f00c1085616a50
Stock   10650   AR-15 DoubleStar ACE SOCOM Gen.4 stock  5d120a10d7ad1a4e1026ba85
Stock   8120    Magpul CTR Carbine stock (FDE)  5d135ecbd7ad1a21c176542e
Stock   21200   Strike Industries Advanced Receiver Extension buffer tube (Anodized Red)        5c793fc42e221600114ca25d
Stock   13056   M1A SOCOM 16 stock      5aaf8e43e5b5b00015693246
Stock   1500    AI AXMC GTAC AR-type pistol grip adapter        62811e335631d45211793c95
Stock   21300   Mesa Tactical Crosshair Hydraulic buffer tube   5ef1ba28c64c5d0dfc0571a5
Charging handle 5200    AR-15 Geissele ACH charging handle      5ea16d4d5aad6446a939753d
Charging handle 13000   AI AXMC .338 LM bolt assembly   62811cd7308cb521f87a8f99
UBGL    50900   GP-25 "Kostyor" 40mm underbarrel grenade launcher       62e7e7bbe6da9612f743f1e0
UBGL    62000   M203 40mm underbarrel grenade launcher  6357c98711fb55120211f7e1
SpringDrivenCylinder    45000   M32A1 40mm cylinder     627bce33f21bc425b06ab967
CylinderMagazine        1500    Chiappa Rhino .357 6-round speedloader  61a4cda622af7f4f6a3ce617
Magazine        17232   PM 9x18PM 84-round makeshift drum magazine      55d485be4bdc2d962f8b456f
Magazine        12142   HK MP7 4.6x30 40-round magazine 5ba26586d4351e44f824b340
Magazine        29000   AK 7.62x39 Molot 75-round drum magazine 5cbdc23eae9215001136a407
Magazine        18319   AK-74 5.45x39 6L31 60-round magazine    55d482194bdc2d1d4e8b456b
Magazine        13946   HK MP5 9x19 X Products X-5 50-round drum magazine       5a351711c4a282000b1521a4
